[2025-04-26 23:42:51] Kênh: lalaal, Người gửi: system, Tin nhắn: [SYSTEM] Kênh 'lalaal' được tạo bởi dat, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:42:51] Kênh: lalaal, Người gửi: system, Tin nhắn: [SYSTEM] Kênh 'lalaal' được tạo bởi dat, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:42:51] Kênh: lalaal, Người gửi: system, Tin nhắn: [SYSTEM] Kênh 'lalaal' được tạo bởi dat, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:42:51] Kênh: lalaal, Người gửi: system, Tin nhắn: [SYSTEM] Kênh 'lalaal' được tạo bởi dat, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:42:55] Kênh: lalaal, Người gửi: nhân, Tin nhắn: dat: hello, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:42:55] Kênh: lalaal, Người gửi: nhân, Tin nhắn: dat: hello, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:43:04] Kênh: lalaal, Người gửi: nhân, Tin nhắn: nhân: hlllll, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:43:04] Kênh: lalaal, Người gửi: dat, Tin nhắn: nhân: hlllll, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:43:04] Kênh: lalaal, Người gửi: dat, Tin nhắn: nhân: hlllll, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:43:09] Kênh: lalaal, Người gửi: nhân, Tin nhắn: dat: eeee, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:43:09] Kênh: lalaal, Người gửi: dat, Tin nhắn: dat: eeee, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:43:09] Kênh: lalaal, Người gửi: nhân, Tin nhắn: dat: eeee, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:43:16] Kênh: lalaal, Người gửi: dat, Tin nhắn: nhân: eeee, Trạng thái: HOẠT ĐỘNG

[2025-04-26 23:43:16] Kênh: lalaal, Người gửi: dat, Tin nhắn: nhân: eeee, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:44:59] Kênh: lalaal, Người gửi: system, Tin nhắn: [SYSTEM] dat là peer chính livestream trong lalaal, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:44:59] Kênh: lalaal, Người gửi: system, Tin nhắn: [SYSTEM] dat là peer chính livestream trong lalaal, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:44:59] Kênh: lalaal, Người gửi: dat, Tin nhắn: dat bắt đầu livestream trong lalaal, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:44:59] Kênh: lalaal, Người gửi: dat, Tin nhắn: dat bắt đầu livestream trong lalaal, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:44:59] Kênh: lalaal, Người gửi: system, Tin nhắn: [SYSTEM] dat là peer chính livestream trong lalaal, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:44:59] Kênh: lalaal, Người gửi: system, Tin nhắn: dat bắt đầu livestream trong lalaal, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:44:59] Kênh: lalaal, Người gửi: system, Tin nhắn: [SYSTEM] dat là peer chính livestream trong lalaal, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:44:59] Kênh: lalaal, Người gửi: system, Tin nhắn: dat bắt đầu livestream trong lalaal, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:45:02] Kênh: lalaal, Người gửi: dat, Tin nhắn: dat dừng livestream trong lalaal, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:45:02] Kênh: lalaal, Người gửi: dat, Tin nhắn: dat dừng livestream trong lalaal, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:45:02] Kênh: lalaal, Người gửi: system, Tin nhắn: dat dừng livestream trong lalaal, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:45:02] Kênh: lalaal, Người gửi: system, Tin nhắn: dat dừng livestream trong lalaal, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:45:12] Kênh: lalaal, Người gửi: nhân, Tin nhắn: nhân: jsjdaksdas, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:45:25] Kênh: lalaal, Người gửi: dat, Tin nhắn: dat: dsam,dá, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:45:25] Kênh: lalaal, Người gửi: nhân, Tin nhắn: dat: dsam,dá, Trạng thái: HOẠT ĐỘNG
[2025-04-26 23:45:33] Kênh: lalaal, Người gửi: dat, Tin nhắn: nhân: dsdsadas, Trạng thái: HOẠT ĐỘNG

